CalendarYear,Species,[a hound shark],,[a wedgefish],Australian sharpnose shark,Banjofish,Bigeye sixgill shark,Blacktip reef shark,Blacktip whaler shark,Blind Shark,Colclough's Shark,Creek whaler,Eagle ray,Endeavour Dogfish,Giant shovelnose ray,Great hammerhead shark,Greeneye dogfish,Grey carpet shark,guitarfish,Guitarfishes - shovelnose unsp,Hammerhead shark,"Milk, Sharpnose & Hardnose Sharks",Nervous shark,Oceanic whitetip shark,Pigeye & Bull Sharks,Ray - blue spotted sting,Ray - cowtail sting,Ray - eastern fiddler,Ray - manta,Ray - spotted eagle,Ray - sting unspecified,Ray - white spotted guitarfish,Shark - angel unspecified,Shark - australian blacktip,Shark - Blacktip Whalers and Graceful,Shark - blue whaler,Shark - bronze whaler,Shark - bull,Shark - dusky,Shark - eastern shovel nose,Shark - epaulette,Shark - fins unspecified,Shark - fossil,Shark - graceful,Shark - grey nurse,Shark - grey reef,Shark - gummy,Shark - hardnose,Shark - lemon,Shark - leopard,Shark - mako,Shark - milk,Shark - pigeye,Shark - sandbar,Shark - scalloped hammerhead,Shark - school,Shark - silky,Shark - silver tip,Shark - Snaggletooth and Weasel,Shark - sorrah,Shark - spinner,Shark - tawny,Shark - tiger,Shark - unspecified,Shark - weasel,Shark - whaler unspecified,Shark - white cheek,Shark - white tip reef,Shark - wobbegong,Shark ray,Sliteye Shark,Smooth Hammerhead,Winghead shark,Total Sharks Caught
2010,,,,,,,,0,0,N/A,N/A,0,0,,,N/A,N/A,,0,1,0,0,,N/A,0,N/A,,,,0,0,,,74,0,N/A,520,2,0,,0,,N/A,,,N/A,N/A,,0,,N/A,N/A,N/A,0,28,N/A,,,0,0,0,,0,1174,N/A,4,0,0,N/A,,N/A,,0,1811
2011,,,,N/A,N/A,,,0,0,N/A,,0,N/A,N/A,,,N/A,,0,1,0,0,,,0,N/A,,,,0,8,,N/A,18,0,N/A,21,0,0,,0,,N/A,N/A,,N/A,0,,0,N/A,N/A,N/A,,N/A,1,N/A,,,0,0,0,,1,1600,,3,0,N/A,N/A,,,,N/A,1654
2012,,,,0,,,,0,0,N/A,N/A,0,0,,,,N/A,,0,1,0,0,,,0,,N/A,,,0,2,,,3,0,,N/A,0,0,,0,,N/A,,,N/A,N/A,,0,N/A,N/A,N/A,N/A,N/A,0,N/A,,,0,0,0,N/A,0,1533,N/A,7,0,N/A,N/A,,N/A,,N/A,1555
2013,,,,N/A,,,,0,0,,,0,,,,,N/A,,0,10,0,0,N/A,,0,N/A,,,,0,21,,N/A,10,0,N/A,N/A,52,0,,0,,N/A,N/A,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,,,0,0,0,,2,1155,,83,0,N/A,N/A,,N/A,,N/A,1338
2014,,,,N/A,,,,0,0,,,0,N/A,,,,,,0,0,0,0,,,0,,,,,N/A,0,,,22,0,N/A,N/A,16,0,,0,,N/A,,,,1,N/A,0,N/A,N/A,N/A,N/A,N/A,0,N/A,,,0,0,0,,1,1014,,9,0,N/A,,N/A,N/A,,N/A,1065
2015,,,,0,,,,0,0,,,0,N/A,,,,,,0,0,0,0,N/A,,0,,,,,0,0,,,22,0,N/A,N/A,1,N/A,,0,N/A,N/A,0,,,N/A,,0,N/A,N/A,N/A,N/A,N/A,3,N/A,,,0,0,0,,0,349,,32,N/A,0,N/A,,,,N/A,409
2016,,,,0,,,,0,0,,,0,N/A,,,,N/A,,0,20,0,0,,,0,,,,N/A,N/A,0,,,117,0,N/A,N/A,0,0,,1,,N/A,N/A,,N/A,N/A,,0,N/A,N/A,N/A,N/A,N/A,0,N/A,,,0,0,10,N/A,0,620,N/A,60,0,N/A,N/A,,,,N/A,832
2017,,,,0,,,N/A,0,0,,,0,N/A,,,,N/A,,0,0,1,0,N/A,,0,N/A,,,N/A,0,1,,,0,0,N/A,N/A,0,0,,0,,N/A,N/A,,N/A,0,N/A,0,N/A,,N/A,,N/A,1,0,,,0,0,2,,0,254,,29,N/A,0,N/A,,N/A,,N/A,296
2018,,N/A,,22,,,,115,714,N/A,,476,,,N/A,1187,N/A,,,187,8,45,2,,178,,,,,N/A,1,,,4,0,,N/A,575,10,,0,,10,148,,N/A,2,,1,N/A,6,,,0,2509,N/A,,N/A,N/A,0,9,,13,36578,N/A,101,N/A,1,N/A,,0,520,3078,47630
2019,,,,16,,,,56,271,N/A,N/A,0,,,N/A,348,N/A,,N/A,125,18,0,N/A,,76,,,,N/A,N/A,8,,,3,N/A,,N/A,67,0,,1,,7,21,N/A,N/A,0,,N/A,,N/A,0,N/A,16,1019,,N/A,N/A,N/A,130,10,,N/A,19120,N/A,74,,N/A,N/A,,,153,938,23174
2020,,,,5,,,,40,21,,N/A,2,N/A,,N/A,386,,N/A,N/A,45,7,0,N/A,N/A,33,,,,,,1,,,N/A,N/A,,N/A,79,0,,0,,0,0,N/A,,N/A,N/A,N/A,,N/A,0,N/A,N/A,877,,,N/A,,0,0,,N/A,17541,,8,N/A,N/A,N/A,,N/A,276,1130,21006
2021,,,,0,,N/A,,79,3,,,0,N/A,,N/A,328,N/A,,N/A,100,N/A,0,,N/A,2,,N/A,,N/A,N/A,12,,,0,N/A,N/A,N/A,54,0,,0,,0,0,,,N/A,,N/A,,N/A,N/A,,0,456,,,N/A,0,0,0,,0,11521,N/A,13,,0,N/A,,N/A,91,1024,14178
2022,,,,0,N/A,,,3,0,,,0,N/A,,N/A,93,N/A,,,0,,0,,,0,,,,,,0,,,N/A,N/A,N/A,,0,0,,0,,N/A,0,,N/A,,,N/A,,,N/A,,N/A,199,,,,0,0,0,,,1158,0,N/A,,N/A,,,,20,161,1689
2023 incomplete,,,,,,,,N/A,0,,,N/A,,,,,,,,N/A,,N/A,,,0,,,,,,,,,,,,,N/A,N/A,,N/A,,N/A,N/A,,,,,,,,,,N/A,N/A,,,N/A,,N/A,N/A,,,N/A,N/A,,,N/A,,,,,,0
Grand Total,,N/A,,43,N/A,N/A,N/A,293,1009,3,N/A,478,0,N/A,N/A,2342,0,N/A,0,514,73,45,2,N/A,289,0,N/A,0,N/A,68,608,N/A,N/A,707,0,5,865,864,21,N/A,19,0,17,169,4,95,14,0,41,0,32,0,39,23,5231,14,N/A,35,0,130,31,N/A,45,106507,0,863,0,57,20,N/A,0,1060,6331,131720
